iter	Passed	Remaining
0	1	165
1	3	168
2	5	162
3	6	155
4	8	156
5	9	155
6	11	155
7	13	154
8	14	151
9	16	151
10	18	149
11	19	144
12	20	138
13	21	133
14	22	128
15	23	124
16	24	121
17	25	116
18	26	112
19	27	109
20	28	105
21	28	102
22	29	99
23	30	96
24	31	93
25	32	91
26	33	89
27	34	87
28	34	85
29	35	83
30	36	81
31	38	81
32	39	79
33	39	77
34	40	75
35	41	73
36	42	71
37	43	70
38	43	68
39	44	67
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	56
47	51	55
48	52	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	43
57	59	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	69	28
71	70	27
72	71	26
73	72	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	83	10
89	83	9
90	84	8
91	85	7
92	86	6
93	86	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
